StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q3,Q4,Q5
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Did you notice a sound?,"Please read each statement carefully and indicate the extent to which you experienced that feeling during the task. There are no right or wrong answers; please be as honest as possible about your ""gut feeling."" - I feel I am competent enough to browse the website","Please read each statement carefully and indicate the extent to which you experienced that feeling during the task. There are no right or wrong answers; please be as honest as possible about your ""gut feeling."" - I do shopping spontaneously and automatically without having to think","Please read each statement carefully and indicate the extent to which you experienced that feeling during the task. There are no right or wrong answers; please be as honest as possible about your ""gut feeling."" - I have a strong sense of what I want to buy and browse","Please read each statement carefully and indicate the extent to which you experienced that feeling during the task. There are no right or wrong answers; please be as honest as possible about your ""gut feeling."" - I have a good idea while I am performing about how well I am doing","Please read each statement carefully and indicate the extent to which you experienced that feeling during the task. There are no right or wrong answers; please be as honest as possible about your ""gut feeling."" - I am completely focused on the task at hand","Please read each statement carefully and indicate the extent to which you experienced that feeling during the task. There are no right or wrong answers; please be as honest as possible about your ""gut feeling."" - I have a feeling of total control","Please read each statement carefully and indicate the extent to which you experienced that feeling during the task. There are no right or wrong answers; please be as honest as possible about your ""gut feeling."" - I am not worried about what others may be thinking of me","Please read each statement carefully and indicate the extent to which you experienced that feeling during the task. There are no right or wrong answers; please be as honest as possible about your ""gut feeling."" - This is an attention check answer Somewhat agree","Please read each statement carefully and indicate the extent to which you experienced that feeling during the task. There are no right or wrong answers; please be as honest as possible about your ""gut feeling."" - The experience is extremely rewarding","Please read each statement carefully and indicate the extent to which you experienced that feeling during the task. There are no right or wrong answers; please be as honest as possible about your ""gut feeling."" - The way time passes seems to be different from normal",Age,Gender,How often do you shop online?
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID10""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID2_4""}","{""ImportId"":""QID2_5""}","{""ImportId"":""QID2_6""}","{""ImportId"":""QID2_7""}","{""ImportId"":""QID2_8""}","{""ImportId"":""QID2_9""}","{""ImportId"":""QID2_10""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}"
2026-01-16 17:10:48,2026-01-16 17:54:25,0,153.92.90.3,100,2617,1,2026-01-16 17:54:27,R_2wwmUxrmM5CgtAB,,,,,50.8165,7.1137,anonymous,EN,2,6,6,5,7,6,5,4,5,3,3,24,1,5
2026-01-16 17:54:37,2026-01-16 18:00:07,0,153.92.90.3,100,329,1,2026-01-16 18:00:08,R_2m3LayVEdBbebMV,,,,,48.767,9.1827,anonymous,EN,2,6,6,6,1,1,4,6,5,1,5,18,2,7
2026-01-16 18:00:14,2026-01-16 18:08:49,0,153.92.90.3,100,515,1,2026-01-16 18:08:50,R_2yBlSXbhBgJVv9v,,,,,48.767,9.1827,anonymous,EN,1,4,4,4,4,4,4,4,4,4,4,16,1,6
2026-01-16 18:09:08,2026-01-16 18:46:08,0,153.92.90.3,100,2219,1,2026-01-16 18:46:09,R_2S1gDyVYU550avE,,,,,48.767,9.1827,anonymous,EN,2,5,6,6,3,5,4,5,5,2,1,19,1,5
2026-01-16 18:46:21,2026-01-16 19:13:23,0,153.92.90.3,100,1621,1,2026-01-16 19:13:24,R_8dzYJdbPskv5LeT,,,,,48.767,9.1827,anonymous,EN,2,6,2,4,5,5,4,3,5,1,1,20,2,5
2026-01-16 19:17:28,2026-01-16 19:39:49,0,153.92.90.3,100,1340,1,2026-01-16 19:39:49,R_2ptlKQwYE4MrAyt,,,,,48.767,9.1827,anonymous,EN,2,3,1,6,6,6,6,6,5,1,7,18,1,6
2026-01-17 09:20:07,2026-01-17 09:24:36,0,84.158.116.133,100,269,1,2026-01-17 09:24:37,R_2uK6ZxRsNDC5anE,,,,,50.8165,7.1137,anonymous,EN,2,5,4,5,4,5,3,3,5,5,2,25,1,6
2026-02-02 17:42:53,2026-02-02 17:48:08,0,93.229.167.98,100,314,1,2026-02-02 17:48:08,R_2d5d7LAAJTzbUfT,,,,,49.1269,9.2286,anonymous,EN,3,5,4,6,5,4,6,5,5,6,4,21,1,5
