StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q3,Q4,Q5
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Did you notice a sound?,"Please read each statement carefully and indicate the extent to which you experienced that feeling during the task. There are no right or wrong answers; please be as honest as possible about your ""gut feeling."" - I feel I am competent enough to browse the website","Please read each statement carefully and indicate the extent to which you experienced that feeling during the task. There are no right or wrong answers; please be as honest as possible about your ""gut feeling."" - I do shopping spontaneously and automatically without having to think","Please read each statement carefully and indicate the extent to which you experienced that feeling during the task. There are no right or wrong answers; please be as honest as possible about your ""gut feeling."" - I have a strong sense of what I want to buy and browse","Please read each statement carefully and indicate the extent to which you experienced that feeling during the task. There are no right or wrong answers; please be as honest as possible about your ""gut feeling."" - I have a good idea while I am performing about how well I am doing","Please read each statement carefully and indicate the extent to which you experienced that feeling during the task. There are no right or wrong answers; please be as honest as possible about your ""gut feeling."" - I am completely focused on the task at hand","Please read each statement carefully and indicate the extent to which you experienced that feeling during the task. There are no right or wrong answers; please be as honest as possible about your ""gut feeling."" - I have a feeling of total control","Please read each statement carefully and indicate the extent to which you experienced that feeling during the task. There are no right or wrong answers; please be as honest as possible about your ""gut feeling."" - I am not worried about what others may be thinking of me","Please read each statement carefully and indicate the extent to which you experienced that feeling during the task. There are no right or wrong answers; please be as honest as possible about your ""gut feeling."" - This is an attention check answer Somewhat agree","Please read each statement carefully and indicate the extent to which you experienced that feeling during the task. There are no right or wrong answers; please be as honest as possible about your ""gut feeling."" - The experience is extremely rewarding","Please read each statement carefully and indicate the extent to which you experienced that feeling during the task. There are no right or wrong answers; please be as honest as possible about your ""gut feeling."" - The way time passes seems to be different from normal",Age,Gender,How often do you shop online?
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID10""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID2_4""}","{""ImportId"":""QID2_5""}","{""ImportId"":""QID2_6""}","{""ImportId"":""QID2_7""}","{""ImportId"":""QID2_8""}","{""ImportId"":""QID2_9""}","{""ImportId"":""QID2_10""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}"
2026-01-26 14:47:55,2026-01-26 14:59:51,0,153.92.93.227,100,716,1,2026-01-26 14:59:52,R_20My1vanc0nXHeg,,,,,49.1412,9.2152,anonymous,EN,5,6,4,5,4,5,5,6,5,5,4,21,2,3
2026-01-26 15:03:40,2026-01-26 15:11:01,0,153.92.93.227,100,440,1,2026-01-26 15:11:02,R_8UVFgx23AUtp44I,,,,,49.1412,9.2152,anonymous,EN,5,7,5,6,5,6,6,5,5,6,5,24,1,5
2026-01-27 19:43:19,2026-01-27 19:47:19,0,153.92.93.227,100,240,1,2026-01-27 19:47:19,R_8nGrDsGf0g6AQx3,,,,,49.1412,9.2152,anonymous,EN,5,6,4,6,4,5,5,4,5,5,6,21,2,2
2026-01-27 19:47:27,2026-01-27 19:55:25,0,153.92.93.227,100,478,1,2026-01-27 19:55:25,R_8SlaL3eIp19s3xw,,,,,49.1412,9.2152,anonymous,EN,5,5,3,4,3,4,4,4,5,4,3,22,1,4
2026-01-27 19:57:04,2026-01-27 20:03:21,0,153.92.93.227,100,377,1,2026-01-27 20:03:22,R_22XurvcNJe4X8tO,,,,,49.1412,9.2152,anonymous,EN,5,7,6,6,7,7,6,5,5,7,4,25,2,4
2026-01-27 20:05:46,2026-01-27 20:09:54,0,153.92.93.227,100,247,1,2026-01-27 20:09:54,R_8fvfy5NkwlVkYKX,,,,,49.1412,9.2152,anonymous,EN,5,6,5,6,5,5,6,6,5,7,6,23,1,5
2026-01-27 20:09:58,2026-01-27 20:34:00,0,153.92.93.227,100,1442,1,2026-01-27 20:34:01,R_2geKwp5fnh1GPst,,,,,49.1412,9.2152,anonymous,EN,5,5,5,4,5,7,6,6,5,4,4,21,2,5
2026-01-27 20:34:05,2026-01-27 20:43:52,0,153.92.93.227,100,586,1,2026-01-27 20:43:52,R_22g36FebHNQjlqF,,,,,49.1412,9.2152,anonymous,EN,5,7,4,6,6,6,6,5,5,5,4,25,1,3
